total_bill;tip;sex;smoker;day;time;size
1699;101;Female;No;Sun;Dinner;2
1034;166;Male;No;Sun;Dinner;3
2101;35;Male;No;Sun;Dinner;3
2368;331;Male;No;Sun;Dinner;2
2459;361;Female;No;Sun;Dinner;4
2529;471;Male;No;Sun;Dinner;4
877;2;Male;No;Sun;Dinner;2
2688;312;Male;No;Sun;Dinner;4
1504;196;Male;No;Sun;Dinner;2
1478;323;Male;No;Sun;Dinner;2
1027;171;Male;No;Sun;Dinner;2
3526;5;Female;No;Sun;Dinner;4
1542;157;Male;No;Sun;Dinner;2
1843;3;Male;No;Sun;Dinner;4
1483;302;Female;No;Sun;Dinner;2
2158;392;Male;No;Sun;Dinner;2
1033;167;Female;No;Sun;Dinner;3
1629;371;Male;No;Sun;Dinner;3
1697;35;Female;No;Sun;Dinner;3
2065;335;Male;No;Sat;Dinner;3
1792;408;Male;No;Sat;Dinner;2
2029;275;Female;No;Sat;Dinner;2
1577;223;Female;No;Sat;Dinner;2
3942;758;Male;No;Sat;Dinner;4
1982;318;Male;No;Sat;Dinner;2
1781;234;Male;No;Sat;Dinner;4
1337;2;Male;No;Sat;Dinner;2
1269;2;Male;No;Sat;Dinner;2
217;43;Male;No;Sat;Dinner;2
1965;3;Female;No;Sat;Dinner;2
955;145;Male;No;Sat;Dinner;2
1835;25;Male;No;Sat;Dinner;4
1506;3;Female;No;Sat;Dinner;2
2069;245;Female;No;Sat;Dinner;4
1778;327;Male;No;Sat;Dinner;2
2406;36;Male;No;Sat;Dinner;3
1631;2;Male;No;Sat;Dinner;3
1693;307;Female;No;Sat;Dinner;3
1869;231;Male;No;Sat;Dinner;3
3127;5;Male;No;Sat;Dinner;3
1604;224;Male;No;Sat;Dinner;3
1746;254;Male;No;Sun;Dinner;2
1394;306;Male;No;Sun;Dinner;2
968;132;Male;No;Sun;Dinner;2
304;56;Male;No;Sun;Dinner;4
1829;3;Male;No;Sun;Dinner;2
2223;5;Male;No;Sun;Dinner;2
324;6;Male;No;Sun;Dinner;4
2855;205;Male;No;Sun;Dinner;3
1804;3;Male;No;Sun;Dinner;2
1254;25;Male;No;Sun;Dinner;2
1029;26;Female;No;Sun;Dinner;2
3481;52;Female;No;Sun;Dinner;4
994;156;Male;No;Sun;Dinner;2
2556;434;Male;No;Sun;Dinner;4
1949;351;Male;No;Sun;Dinner;2
3801;3;Male;Yes;Sat;Dinner;4
2641;15;Female;No;Sat;Dinner;2
1124;176;Male;Yes;Sat;Dinner;2
4827;673;Male;No;Sat;Dinner;4
2029;321;Male;Yes;Sat;Dinner;2
1381;2;Male;Yes;Sat;Dinner;2
1102;198;Male;Yes;Sat;Dinner;2
1829;376;Male;Yes;Sat;Dinner;4
1759;264;Male;No;Sat;Dinner;3
2008;315;Male;No;Sat;Dinner;3
1645;247;Female;No;Sat;Dinner;2
307;1;Female;Yes;Sat;Dinner;1
2023;201;Male;No;Sat;Dinner;2
1501;209;Male;Yes;Sat;Dinner;2
1202;197;Male;No;Sat;Dinner;2
1707;3;Female;No;Sat;Dinner;3
2686;314;Female;Yes;Sat;Dinner;2
2528;5;Female;Yes;Sat;Dinner;2
1473;22;Female;No;Sat;Dinner;2
1051;125;Male;No;Sat;Dinner;2
1792;308;Male;Yes;Sat;Dinner;2
272;4;Male;No;Thur;Lunch;4
2276;3;Male;No;Thur;Lunch;2
1729;271;Male;No;Thur;Lunch;2
1944;3;Male;Yes;Thur;Lunch;2
1666;34;Male;No;Thur;Lunch;2
1007;183;Female;No;Thur;Lunch;1
3268;5;Male;Yes;Thur;Lunch;2
1598;203;Male;No;Thur;Lunch;2
3483;517;Female;No;Thur;Lunch;4
1303;2;Male;No;Thur;Lunch;2
1828;4;Male;No;Thur;Lunch;2
2471;585;Male;No;Thur;Lunch;2
2116;3;Male;No;Thur;Lunch;2
2897;3;Male;Yes;Fri;Dinner;2
2249;35;Male;No;Fri;Dinner;2
575;1;Female;Yes;Fri;Dinner;2
1632;43;Female;Yes;Fri;Dinner;2
2275;325;Female;No;Fri;Dinner;2
4017;473;Male;Yes;Fri;Dinner;4
2728;4;Male;Yes;Fri;Dinner;2
1203;15;Male;Yes;Fri;Dinner;2
2101;3;Male;Yes;Fri;Dinner;2
1246;15;Male;No;Fri;Dinner;2
1135;25;Female;Yes;Fri;Dinner;2
1538;3;Female;Yes;Fri;Dinner;2
443;25;Female;Yes;Sat;Dinner;3
2242;348;Female;Yes;Sat;Dinner;2
2092;408;Female;No;Sat;Dinner;2
1536;164;Male;Yes;Sat;Dinner;2
2049;406;Male;Yes;Sat;Dinner;2
2521;429;Male;Yes;Sat;Dinner;2
1824;376;Male;No;Sat;Dinner;2
1431;4;Female;Yes;Sat;Dinner;2
14;3;Male;No;Sat;Dinner;2
725;1;Female;No;Sat;Dinner;1
3807;4;Male;No;Sun;Dinner;3
2395;255;Male;No;Sun;Dinner;2
